hr_mean,hr_std,label
65.6,0.66,Normal
83.89,2.09,Normal
63.37,1.54,Normal
68.99,1.8,Normal
56.64,0.28,Normal
79.62,2.48,Normal
65.8,19.4,Normal
69.89,2.06,Normal
72.77,1.95,Normal
75.05,4.29,Normal
86.67,21.46,Normal
68.83,0.95,Normal
52.8,2.07,Normal
76.31,1.68,Normal
59.3,1.38,Normal
60.96,2.2,Normal
89.14,7.12,Normal
93.49,1.85,Normal
56.79,1.46,Normal
60.57,0.91,Normal
76.89,1.1,Normal
68.24,1.52,Normal
92.46,2.51,Normal
77.87,1.64,Normal
64.27,2.87,Normal
58.85,2.29,Normal
83.36,12.81,Normal
54.23,0.85,Normal
65.72,2.51,Normal
65.97,2.25,Normal
69.64,1.74,Normal
74.8,12.55,Normal
82.26,5.04,Normal
88.98,6.7,Normal
69.98,6.1,Normal
83.22,12.35,Normal
74.35,6.0,Normal
61.02,1.23,Normal
71.4,1.62,Normal
64.28,19.26,Normal
71.46,30.68,Normal
63.54,5.03,Normal
71.37,37.58,Normal
81.81,41.7,Normal
77.56,20.45,Normal
76.95,31.25,Normal
75.73,3.32,Normal
78.76,21.37,Normal
77.47,1.62,Normal
66.48,3.67,Normal
64.66,1.57,Normal
86.62,4.97,Normal
68.69,3.14,Normal
64.45,3.4,Normal
63.91,1.82,Normal
68.75,4.54,Normal
65.8,4.81,Normal
87.97,1.76,Normal
67.64,1.65,Normal
59.19,2.71,Normal
64.03,0.78,Normal
64.23,11.46,Normal
71.25,1.93,Normal
55.97,0.86,Normal
87.51,20.39,Normal
62.1,0.54,Normal
64.37,2.85,Normal
71.99,17.4,Normal
99.21,1.94,Normal
67.98,4.77,Normal
70.52,3.28,Normal
75.16,4.52,Normal
76.85,3.59,Normal
90.67,1.04,Normal
50.02,2.05,Normal
59.86,22.75,Normal
76.99,3.13,Normal
78.32,2.32,Normal
74.05,1.11,Normal
82.48,3.3,Normal
60.59,4.69,Normal
95.0,4.64,Normal
81.11,7.88,Normal
87.4,8.89,Normal
85.69,5.58,Normal
67.45,1.22,Normal
97.61,4.83,Normal
72.48,1.66,Normal
88.79,36.99,Normal
51.6,1.73,Normal
80.28,19.01,Normal
65.37,3.89,Normal
77.82,6.07,Normal
69.23,4.1,Normal
78.27,17.02,Normal
81.3,6.16,Normal
85.7,1.37,Normal
60.78,5.08,Normal
59.95,29.68,Normal
79.44,2.94,Normal
56.34,1.16,Normal
58.29,2.3,Normal
71.99,4.8,Normal
60.56,1.86,Normal
75.58,1.45,Normal
59.81,1.33,Normal
85.78,2.36,Normal
79.97,5.23,Normal
85.04,2.47,Normal
52.53,0.46,Normal
86.45,19.24,Normal
68.08,22.08,Normal
65.24,1.23,Normal
74.22,15.28,Normal
52.01,1.17,Normal
83.01,3.58,Normal
69.92,1.44,Normal
61.23,7.19,Normal
57.18,0.96,Normal
80.77,14.4,Normal
87.37,19.94,Normal
64.84,10.64,Normal
64.79,3.56,Normal
68.88,5.85,Normal
86.87,21.18,Normal
60.22,1.03,Normal
81.55,0.84,Normal
67.32,3.66,Normal
92.54,40.1,Normal
70.35,27.48,Normal
93.48,28.3,Normal
72.11,4.11,Normal
92.49,5.59,Normal
83.97,3.01,Normal
67.07,30.32,Normal
78.19,7.52,Normal
67.78,12.26,Normal
76.13,20.71,Normal
74.77,1.3,Normal
70.28,4.81,Normal
59.55,1.54,Normal
68.41,33.74,Normal
94.76,4.91,Normal
58.5,1.18,Normal
63.01,27.21,Normal
66.65,1.53,Normal
64.42,1.14,Normal
70.89,3.64,Normal
64.76,1.92,Normal
73.14,3.67,Normal
65.99,1.45,Normal
79.82,1.69,Normal
76.1,2.14,Normal
59.51,3.65,Normal
75.53,1.16,Normal
75.31,3.96,Normal
87.12,27.77,Normal
57.4,3.2,Normal
81.82,4.04,Normal
79.36,5.5,Normal
60.89,0.82,Normal
61.6,0.59,Normal
80.55,2.06,Normal
71.27,3.18,Normal
60.76,2.87,Normal
67.81,0.91,Normal
63.63,8.07,Normal
64.75,1.41,Normal
54.35,2.45,Normal
59.25,4.41,Normal
69.56,4.44,Normal
72.97,15.6,Normal
61.89,7.53,Normal
62.99,3.83,Normal
62.9,0.69,Normal
67.92,2.6,Normal
61.29,5.0,Normal
74.07,25.71,Normal
62.22,9.08,Normal
53.81,1.33,Normal
56.68,1.21,Normal
93.65,7.08,Normal
62.0,7.16,Normal
73.72,23.96,Normal
69.1,1.44,Normal
80.2,0.66,Normal
68.23,1.06,Normal
71.13,3.22,Normal
68.06,0.98,Normal
67.69,2.92,Normal
74.14,1.91,Normal
81.68,35.83,Normal
62.31,38.7,Normal
82.63,29.72,Normal
68.43,1.83,Normal
67.42,5.51,Normal
59.26,3.1,Normal
81.28,5.25,Normal
62.12,2.25,Normal
65.41,0.55,Normal
58.42,0.78,Normal
72.98,1.58,Normal
68.48,6.21,Normal
97.03,2.24,Normal
73.85,16.48,Normal
82.59,12.18,Normal
65.89,1.75,Normal
72.27,2.13,Normal
56.15,3.32,Normal
90.51,10.68,Normal
66.68,1.5,Normal
65.51,6.15,Normal
78.41,1.09,Normal
56.91,4.11,Normal
64.76,4.22,Normal
57.53,4.42,Normal
66.84,5.97,Normal
76.5,0.75,Normal
67.68,0.74,Normal
64.48,19.74,Normal
63.34,18.46,Normal
70.14,0.63,Normal
62.13,15.55,Normal
67.71,1.08,Normal
83.85,5.29,Normal
67.09,5.41,Normal
68.12,4.13,Normal
88.78,29.31,Normal
64.03,24.18,Normal
73.39,7.87,Normal
59.92,4.69,Normal
70.05,3.17,Normal
72.31,3.67,Normal
76.2,1.22,Normal
61.74,0.53,Normal
84.87,5.81,Normal
58.83,2.02,Normal
65.89,7.02,Normal
67.43,24.42,Normal
73.21,1.32,Normal
67.66,4.76,Normal
57.57,2.61,Normal
79.71,32.17,Normal
71.83,8.08,Normal
58.65,4.87,Normal
60.13,4.97,Normal
79.35,5.27,Normal
65.12,4.76,Normal
59.75,16.7,Normal
70.27,2.51,Normal
64.32,1.72,Normal
81.94,4.63,Normal
65.07,1.02,Normal
62.94,4.61,Normal
75.98,0.69,Normal
61.17,2.71,Normal
50.81,4.54,Normal
59.68,2.88,Normal
73.34,1.86,Normal
69.93,1.12,Normal
65.38,2.26,Normal
81.53,2.54,Normal
63.8,21.64,Normal
69.25,21.05,Normal
54.32,18.98,Normal
60.77,1.95,Normal
89.46,3.07,Normal
87.77,18.0,Normal
88.27,7.62,Normal
90.39,4.41,Normal
52.66,2.98,Normal
82.43,2.82,Normal
89.41,3.27,Normal
73.62,5.65,Normal
68.94,1.37,Normal
62.11,12.0,Normal
54.42,37.15,Normal
96.64,1.38,Normal
60.51,1.62,Normal
80.19,0.6,Normal
63.02,1.63,Normal
78.77,1.11,Normal
75.84,5.76,Normal
65.99,21.87,Normal
91.87,4.07,Normal
88.64,3.86,Normal
64.35,3.83,Normal
83.47,25.14,Normal
77.43,1.46,Normal
57.1,4.72,Normal
62.81,5.52,Normal
85.34,3.9,Normal
74.86,6.93,Normal
91.28,13.43,Normal
92.39,4.54,Normal
70.5,5.85,Normal
75.47,5.19,Normal
67.57,4.84,Normal
66.06,40.06,Normal
56.54,3.54,Normal
82.26,19.81,Normal
69.61,27.4,Normal
70.49,5.18,Normal
71.17,3.01,Normal
62.52,1.45,Normal
54.97,0.98,Normal
81.75,5.08,Normal
65.2,7.16,Normal
88.97,4.06,Normal
71.57,1.69,Normal
58.94,4.17,Normal
87.55,3.66,Normal
72.89,23.9,Normal
58.74,4.52,Normal
68.73,19.67,Normal
85.35,20.21,Normal
74.67,2.11,Normal
93.04,1.52,Normal
65.38,3.76,Normal
89.65,0.96,Normal
103.47,18.16,Normal
87.46,22.78,Normal
74.97,5.21,Normal
72.23,1.66,Normal
66.98,3.59,Normal
90.5,1.21,Normal
87.97,31.32,Normal
82.0,1.36,Normal
73.28,6.0,Normal
67.11,1.7,Normal
50.82,2.15,Normal
80.44,21.0,Normal
71.28,15.62,Normal
86.68,4.5,Normal
83.39,4.34,Normal
59.04,3.19,Normal
67.09,4.61,Normal
74.97,1.92,Normal
65.57,4.69,Normal
71.9,1.98,Normal
70.35,1.98,Normal
68.73,5.34,Normal
58.07,2.23,Normal
63.84,9.24,Normal
71.42,28.73,Normal
97.94,37.79,Normal
56.92,5.43,Normal
56.22,3.19,Normal
76.67,6.06,Normal
72.2,12.61,Normal
90.4,6.09,Normal
49.2,1.22,Normal
57.14,6.08,Normal
43.32,5.73,Normal
79.77,4.61,Normal
65.04,1.85,Normal
60.19,1.84,Normal
79.61,3.44,Normal
66.06,4.13,Normal
78.22,2.18,Normal
66.28,3.34,Normal
75.5,5.63,Normal
61.86,7.16,Normal
89.45,10.78,Normal
95.01,21.5,Normal
59.43,1.14,Normal
97.46,7.98,Normal
80.08,1.43,Normal
67.41,2.44,Normal
71.79,3.56,Normal
95.47,2.06,Normal
83.47,3.42,Normal
82.11,0.79,Normal
88.65,33.57,Normal
58.63,3.04,Normal
83.31,5.74,Normal
74.67,1.69,Normal
74.32,2.37,Normal
82.3,18.92,Normal
73.69,4.82,Normal
71.61,1.16,Normal
68.83,4.07,Normal
79.77,9.02,Normal
68.28,2.47,Normal
83.14,8.6,Normal
52.48,5.88,Normal
118.15,1.6,Normal
79.49,4.71,Normal
63.71,3.27,Normal
69.68,5.56,Normal
74.31,3.06,Normal
80.56,1.18,Normal
76.79,0.41,Normal
56.49,1.61,Normal
59.91,3.78,Normal
78.18,3.88,Normal
73.66,5.41,Normal
92.33,10.26,Normal
77.16,34.99,Normal
85.33,1.51,Normal
86.33,4.46,Normal
52.95,44.52,Normal
69.63,6.92,Normal
83.46,8.31,Normal
56.59,19.57,Normal
78.93,22.53,Normal
60.89,1.87,Normal
68.24,3.1,Normal
71.34,2.1,Normal
71.76,3.26,Normal
93.79,4.44,Normal
85.52,2.96,Normal
70.77,32.99,Normal
86.47,1.3,Normal
58.48,1.06,Normal
78.28,16.11,Normal
76.11,2.19,Normal
81.96,1.17,Normal
61.22,2.27,Normal
63.79,31.45,Normal
63.43,24.7,Normal
59.94,12.82,Normal
56.37,4.96,Normal
72.5,4.29,Normal
86.65,3.93,Normal
72.11,17.86,Normal
55.13,2.64,Normal
58.78,0.98,Normal
74.92,2.59,Normal
70.03,2.52,Normal
66.25,17.85,Normal
88.99,3.5,Normal
83.77,15.93,Normal
88.26,4.37,Normal
76.79,2.6,Normal
59.06,2.14,Normal
80.45,8.48,Normal
59.32,2.61,Normal
58.13,0.84,Normal
81.78,10.98,Normal
76.67,2.36,Normal
77.68,6.51,Normal
78.48,12.23,Normal
63.6,3.25,Normal
72.01,3.9,Normal
73.78,2.1,Normal
60.92,5.02,Normal
89.33,1.9,Normal
82.85,22.79,Normal
61.58,1.18,Normal
60.98,1.53,Normal
68.08,4.2,Normal
90.02,7.92,Normal
64.63,2.02,Normal
68.35,1.84,Normal
70.06,25.81,Normal
79.1,2.71,Normal
73.5,13.45,Normal
69.89,2.99,Normal
80.01,6.69,Normal
67.38,1.68,Normal
93.52,4.74,Normal
71.27,2.3,Normal
71.75,3.61,Normal
58.33,0.89,Normal
91.38,3.49,Normal
73.03,2.69,Normal
73.28,1.4,Normal
69.41,1.8,Normal
81.61,6.06,Normal
58.56,1.32,Normal
72.96,6.07,Normal
83.8,0.9,Normal
63.36,5.12,Normal
85.86,12.76,Normal
81.33,2.41,Normal
81.62,1.96,Normal
62.11,1.44,Normal
82.05,3.31,Normal
84.41,6.53,Normal
73.49,2.7,Normal
89.26,1.99,Normal
58.16,2.68,Normal
65.31,4.27,Normal
86.53,14.54,Normal
61.25,1.04,Normal
88.23,6.03,Normal
78.14,5.66,Normal
69.18,1.16,Normal
67.26,20.62,Normal
83.7,6.57,Normal
63.28,25.11,Normal
53.78,1.8,Normal
71.62,18.46,Normal
71.09,28.34,Normal
63.71,4.89,Normal
54.0,5.67,Normal
67.66,0.77,Normal
78.52,4.49,Normal
73.63,5.86,Normal
54.52,0.86,Normal
81.4,1.01,Normal
68.23,7.38,Normal
86.17,4.19,Normal
58.29,8.42,Normal
67.27,1.85,Normal
61.07,6.1,Normal
70.31,17.9,Normal
66.18,2.03,Normal
80.13,22.42,Normal
95.02,4.8,Normal
73.93,1.84,Normal
77.99,12.41,Normal
89.03,9.17,Normal
64.11,3.45,Normal
63.54,32.84,Normal
87.81,2.33,Normal
70.73,4.42,Normal
71.85,1.0,Normal
69.33,28.51,Normal
78.52,3.85,Normal
61.02,15.33,Normal
64.73,3.92,Normal
75.84,0.99,Normal
64.2,2.88,Normal
53.27,23.77,Normal
72.25,0.75,Normal
90.38,1.37,Normal
80.66,3.0,Normal
93.41,8.22,Normal
77.48,0.74,Normal
62.27,26.52,Normal
85.02,4.8,Normal
87.15,7.55,Normal
61.05,3.68,Normal
67.92,1.16,Normal
59.09,24.89,Normal
85.41,1.21,Normal
81.87,37.9,Normal
66.67,5.95,Normal
60.29,3.77,Normal
75.95,1.13,Normal
61.0,17.31,Normal
85.16,3.36,Normal
60.05,4.9,Normal
65.91,1.86,Normal
64.15,1.44,Normal
67.75,5.85,Normal
60.39,3.97,Normal
62.0,1.89,Normal
70.49,5.09,Normal
59.67,2.03,Normal
83.22,24.93,Normal
62.99,2.04,Normal
68.2,18.08,Normal
66.05,27.18,Normal
69.07,2.69,Normal
72.78,2.09,Normal
62.86,1.51,Normal
66.43,26.0,Normal
70.79,5.68,Normal
70.76,19.06,Normal
65.02,3.9,Normal
72.65,2.16,Normal
62.31,1.16,Normal
60.82,28.45,Normal
74.65,19.85,Normal
84.46,2.45,Normal
68.85,1.26,Normal
64.52,9.61,Normal
71.25,0.78,Normal
49.8,1.9,Normal
91.56,35.31,Normal
78.19,13.77,Normal
77.48,19.91,Normal
65.66,1.61,Normal
71.09,1.93,Normal
70.62,3.11,Normal
56.18,1.32,Normal
70.67,1.72,Normal
83.31,3.87,Normal
58.55,7.46,Normal
67.53,18.22,Normal
83.52,45.3,Normal
69.92,11.03,Normal
74.25,2.85,Normal
64.73,0.98,Normal
74.26,15.76,Normal
67.87,2.68,Normal
72.36,1.86,Normal
75.68,25.32,Normal
87.15,1.13,Normal
67.9,6.09,Normal
83.8,5.77,Normal
83.79,12.57,Normal
71.15,0.98,Normal
69.42,1.97,Normal
84.51,5.06,Normal
76.29,3.77,Normal
74.23,0.64,Normal
60.28,44.39,Abnormal
68.11,0.79,Abnormal
68.93,29.54,Abnormal
44.67,2.03,Abnormal
58.25,2.47,Abnormal
70.73,24.88,Abnormal
76.43,11.45,Abnormal
62.55,9.99,Abnormal
100.04,19.27,Abnormal
67.19,21.8,Abnormal
66.76,15.52,Abnormal
75.17,14.48,Abnormal
106.51,1.35,Abnormal
77.51,26.12,Abnormal
70.91,27.13,Abnormal
73.02,4.2,Abnormal
137.12,24.31,Abnormal
92.35,11.35,Abnormal
91.73,3.45,Abnormal
76.56,24.26,Abnormal
70.89,32.69,Abnormal
95.25,17.59,Abnormal
47.62,0.47,Abnormal
60.74,10.49,Abnormal
58.27,13.9,Abnormal
113.12,18.82,Abnormal
56.1,10.47,Abnormal
61.29,7.81,Abnormal
74.15,24.56,Abnormal
80.21,12.06,Abnormal
104.73,2.63,Abnormal
117.82,2.75,Abnormal
81.68,16.14,Abnormal
72.81,19.01,Abnormal
62.58,1.01,Abnormal
49.33,4.03,Abnormal
108.92,1.26,Abnormal
